"id","name","description","style_id","glass_id","glass_name","label","availability_id","availability_name","is_organic"
"09IKmh","Labyrinth","Enter the Labyrinth, a multi-dimensional black ale. Discover the complex intermingling of black licorice and toasted oak. Seek the subtle hints of bittersweet chocolate. Explore pairing Labyrinth with flavorful cheeses and rich desserts.","43","Tulip","Tulip","http://s3.amazonaws.com/brewerydbapi/beer/09IKmh/upload_2BDyUX-large.png","1","Year Round","N"
"fA0O8C","Winter Storm - Category 5 Ale","Our winter ale brewed with copious helpings of English malts and both U.S. and English hops making it a ruddy hued Imperial ESB in style. Full malty flavors dancing with powerful hop aromas and a lingering yet firm hop bitterness.","5","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/fA0O8C/upload_bW6Y1d-large.png","4","Seasonal","N"
"Bt79WS","Loose Cannon","Burnished gold with a rich citrus hop aroma, it is wonderfully drinkable with a big hop flavor. Weve knicknamed it Hop3 (hop cubed) ale to reflect the enormous amount of hops in this beer: over 3 pounds per barrel! It is hopped 3 ways: in the kettle, in the hop back, and dry hopped. Pairs well with strong cheeses and steak. 2nd Place CAMRA award winner at the 2010 Great British Beer Festival","30","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/Bt79WS/upload_XxyZ5D-large.png","1","Year Round","N"
"O4MTYC","The Public","The PublicTM is a delicious easy drinking pale ale made from a simple recipe of quality grain and top notch American hops. Tawny hues of caramel and amber are a trademark of the Public ale as well as a delicious spruce crispness resulting from a beautiful abundance of hops! This beer will be produced throughout the year and serves as the foundation of our product line.","25","Tulip","Tulip","http://s3.amazonaws.com/brewerydbapi/beer/O4MTYC/upload_bhjF5I-large.png","1","Year Round","N"
"8eyXN7","Blonde Bock","Blonde Bock Bock beers are represented by a male goat, which in German lore symbolizes strength and virility. In accordance with the Reinheitsgebot (German Purity Law of 1516), bock beers must have a pre-fermentation malt sugar concentration of 16%, which converts over to at least 7% alcohol after fermentation. These strong beers were made popular in the early 1600s by monks in order to minimize their hunger during fasting periods. While most bocks are dark, Blonde Bock is golden-colored and malty with a rich, creamy head. The rich flavor is counterbalanced with just the right level of bitterness from the Hallertau aroma hops and create a very smooth profile.","88","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/8eyXN7/upload_dZbRVc-large.png","1","Year Round","N"
"EaoR0H","312 Urban Wheat Ale","Inspired by the city of Chicago and densely populated with flavor, 312s spicy aroma of Cascade hops is followed by a crisp, fruity ale flavor delivered in a smooth, creamy body that's immensely refreshing.","112","Weizen","Weizen","http://s3.amazonaws.com/brewerydbapi/beer/EaoR0H/upload_r1Sgk2-large.png","1","Year Round","N"
"sfYViV","Stoudt's American Pale Ale","This uniquely American beer offers a crisp, medium body with a light amber color.  Generous additions of Cascade hops provide a refreshing bitterness and vibrant citrus aroma.","25","Pint","Pint","","1","Year Round","N"
"CK3s3j","Espresso Amber Ale","A robust amber ale brewed with locally roasted, organic fair trade espresso with help from our friends down the street at Coffee by Design. This malty amber ale is brewed with substantial amounts of Munich Malt, providing a perfect backbone for the rich, roasty flavor imparted by the espresso.

Peak Espresso Amber is the first Fair Trade Certified beer brewed in the United States.","125","Pint","Pint","","","","N"
"0TZtps","Oak Aged Yeti Imperial Stout","This unique version of our monstrous Yeti Imperial Stout is aged for 9 months in Stranahan's Colorado Whiskey barrels and then bottle conditioned. The spirited aging process produces a hugely complex but mellowed Yeti, with its signature roasted flavors, hints of vanilla and oak, and a whiskeyed finish. Who says you can't tame a beast?","43","","","http://s3.amazonaws.com/brewerydbapi/beer/0TZtps/upload_9PzgUY-large.png","4","Seasonal","N"
"ZbXjuu","Fresh Hop Pale Ale","Taking advantage of the late-summer hop harvest, Great Divide searched for the perfect combination of fresh, whole cone hops to create the distinctive hop profile of Fresh Hop Pale Ale. The September hop harvest is a once-a-year opportunity to brew with fresh hops, also called wet hops. Using fresh hops is a big endeavor, as the process requires four to five times the volume of hops compared to the normal process of using pelletized hops. Brewing with fresh hops brings impressive results. Fresh Hop is a superbly refreshing, medium-bodied, light-copper colored American-style pale ale. It has moderate hop bitterness, marked by a unique and intensely grassy hop flavor and aroma.","25","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/ZbXjuu/upload_o0Dic4-large.png","4","Seasonal","N"
"aywDqA","Espresso Oak Aged Yeti","Espresso Oak Aged Yeti is a new additiontothe Yeti clan. A generous infusion of Denver's own Pablo's espresso adds yet another layer of complexity to this beer, combining with the vanilla oak character, intense roasty maltiness and bold hop profile to create a whole new breed of mythical creature. 

Its official: You can now have Yeti with breakfast.","43","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/aywDqA/upload_K5Ydvx-large.png","4","Seasonal","N"
"xgO0Do","Hefeweizen","Meet the beer that started it all. Our naturally cloudy flagship brew starts with the highest quality wheat. It's bold, clean flavor and pronounced citrus and floral aromas are what define american-style hefeweizen. So pour yourself a cool, cloudy glass, finish with a lemon and enjoy the original.","48","Weizen","Weizen","http://s3.amazonaws.com/brewerydbapi/beer/xgO0Do/upload_MRAmOe-large.png","1","Year Round","N"
"MBEhFB","Copper Ale","Copper Ale, a medium bodied, amber ale inspired by the Altbiers of Northern Germany. Brewed with six different malts, three hop varieties and our special house yeast, Copper Ale is characterized by a well-balanced blend of malty notes and mild bitterness.","55","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/MBEhFB/upload_iRLJOS-large.png","1","Year Round","N"
"QG6D7D","Maharaja Imperial IPA","Maharaja is derived from the sanskrit words mahat, - ""great"" and rajan - ""king"". Much like its namesake, this imperial IPA is regal, intense and mighty. With hops and malts as his servants, he rules both with a heavy hand. The Maharaja flaunts his authority over a deranged amount of hops: tangy, vibrant and pungent along with an insane amount of malted barley - fashioning a dark amber hue and exquisite malt essence.

Be aware that The Maharaja is a limited release only available for the summer. Welcome to his kingdom!","31","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/QG6D7D/upload_MZn6Mb-large.png","4","Seasonal","N"
"jdulDH","Trade Winds Tripel","Our Summer seasonal, Trade Winds Tripel is a Belgian-style Golden Ale with a Southeast Asian twist. Instead of using candi sugar (typical for such a beer), we use rice in the mash to lighten the body and increase the gravity, and spice with Thai Basil. The result is an aromatic, digestible and complex beer made for a lazy summer evening.","59","","","","","","N"
"Z6IEHr","Prior 8","This noble delicious beer with a high fermentation has a ruby purple colour with a full malty and fruity taste (8% alcohol content). 

This beer has a beautiful round froth due to the second fermentation with a taste that creates a perfect balance between sweet and sour.","58","","","","","","N"
"j3AdRz","Winter Session Ale","This winter wheat beer uses dark malting to provide subtle toasty notes. We then single-hop and dry-hop this beer with Citra hops from our friend Brads farm. Interesting pineapple notes from the Citra hop provide a stark contrast to the toasty notes in the body. An engaging and sessionable Winter Seasonal.","52","Pint","Pint","","8","Winter","N"
"LMtRbQ","IPA","This unique India Pale Ale features our favorite hopsSimcoe, Amarillo and Nugget. A generous Amarillo and Simcoe dry hop provide for an assertive, hop-forward nose and front palate. We dont use traditional bittering hops in our IPA, providing nothing but stimulating citrus and floral characteristics.

Inspired by a recipe from our good friend and fellow homebrewer Tim from the North Shore Homebrewers Club.","30","Pint","Pint","","1","Year Round","N"
"r9nypM","Double Dog Double Pale Ale","Double Dog Double Pale Ale is a generously hopped ale with a deep red color and pours with a nice frothy head. The abundance of hops will conjure some provocative aromas with hints of raisins and citrus.","31","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/r9nypM/upload_EnMELu-large.png","1","Year Round","N"
"BfyWi5","Chemung Canal Towpath Ale","This style of beer is classified as an ""English-Style Summer Ale"". The focus is on the malts used during the brewing process. Our version of this beer uses malts imported from England. The taste is extremely mild, sweet and refreshing.","6","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/BfyWi5/upload_Bb6P1z-large.png","1","Year Round","N"
"VrC2d6","Organic E.S.B.","One of the few beers brewed in the world using 100% certified organic ingredients  including the hops! 

A classic British style Extra Special Bitter that pours a brilliant amber with a nice off-white head. Organic Saphir hops lend a citrusy bite to the malty flavor to yield a very refreshing taste.","4","Pint","Pint","","1","Year Round","N"
"DoN2gk","Iroquois Wheat Beer","This style of beer is classified as an American Wheat Ale, not to be confused with the German unfiltered version - Hefe Weizen. The focus is on the wheat used during the brewing process. Our version is filtered and slightly ""off the beaten path"" with a dry ""hoppy"" finish.","113","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/DoN2gk/upload_lWp1Eu-large.png","4","Seasonal","N"
"Lzmxub","Lakefront White","Our version of a Belgian classic, brewed with wheat malt and spiced with coriander and orange peel. Pours a beautiful hazy blond-gold with a thick pearly white head. The nose is yeasty with a light aroma of fruit and spice. This beer is as crisp and refreshing as the aroma implies, with the wheat malt supplying a full, somewhat sweet background to the orange and coriander flavor. Spritzy carbonation lifts the sweetness to lend a crisp finish. A great beer for a warm summer day.","65","Pint","Pint","","4","Seasonal","N"
"C6EUeD","Duck-Rabbit Milk Stout","The Duck-Rabbit Milk Stout is a traditional full-bodied stout brewed with lactose (milk sugar). The subtle sweetness imparted by the lactose balances the sharpness of the highly roasted grains which give this delicious beer its black color.","20","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/C6EUeD/upload_OQYmDx-large.png","1","Year Round","N"
"fdoXV7","Stranger","Initial impressions are not always reality, so you must delve deeper. Beyond the initial floral hop aromas, malt sweetness is revealed, yet with a spicy undertone that exposes a very rye sense of humor. Take your time to get to know the Stranger. Its strangely satisfying.","25","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/fdoXV7/upload_ZSAJnD-large.png","","","N"
"onoKyE","Old Brown Dog Ale","Old Brown Dog has been cited as a classic example of the American Brown Ale style of beer. Compared to a typical English Brown Ale, Old Brown Dog is fuller-bodied and more strongly hopped.

Old Brown Dog has been around for many years. It was first brewed in 1988 at the Northampton Brewery. In 1989 it won a silver medal in its category (American Brown Ale) at the Great American Beer Festival in Denver.","37","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/onoKyE/upload_XIkws0-large.png","1","Year Round","N"
"3RFxH6","Finestkind IPA","Portsmouth is a colonial era seaport town, so it goes to follow that sooner or later we'd brew an India Pale Ale as a tribute to those big, hoppy 19th century ales that made the long sea voyage from England's temperate shores, 'round the Cape of Good Hope, to the sultry climes of the faraway East Indies.

But there's another reason we brewed this beer, one that's closer to our home and hearts. Hopheads. 

Ten years ago we brewed our first batch of Shoals Pale Ale, our American interpretation of the traditional British ESB (Extra Special Bitter) style. At the time, it was widely considered to be darned hoppy. However, a funny thing happened over the last decade - our Shoals Pale Ale didn't change; beer lovers did, and we started to hear more and more: Why don't you guys make a really hoppy beer?

You could say, then, that Smuttynose IPA is a physical salute to the glory of the American hop grower. The citrusy hop flavor coming from a mixture of Simcoe and Santiams is pleasantly balanced by a smooth bitterness from the Amarillo hops. The beer itself is light bodied and crisp with a golden color that will throw a slight haze, as we bottle it unfiltered. At 65 IBU's, this is definitely not a training-wheels IPA, but is meant for hop lovers looking to satisfy their craving in a way that's not easy to find. We think theyll be quite pleased.","30","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/3RFxH6/upload_ChVh6v-large.png","1","Year Round","N"
"iaYJ7X","Ranger","Ever met a New Belgium Beer Ranger? They are our beloved folks out in the field. Spanning all 26 of our states from the Pacific to the Atlantic, our Beer Rangers do their best to protect, to pour and to partake. And explore many a beer from many a brewery, they do. The fellows up in the Northwest kept calling for more hops! Soon it became a common theme across the land. Rangers, fans and craft lovers everywhere were searching for hoppier beers. 

So, here it finally is, New Belgium's foray into the true American India Pale Ales. Bring out the hops! This clear amber beauty bursts at the starting gate with an abundance of hops: Cascade (citrus), Chinook (floral/citrus), and Simcoe (fruity) lead off the beer, with Cascade added again for an intense dry hop flavor. Brewed with pale and dark caramel malts that harmonize the hop flavor from start to finish, Ranger is a sessionable splendor for all you hopinistas. Thank your Beer Ranger!","30","Snifter","Snifter","http://s3.amazonaws.com/brewerydbapi/beer/iaYJ7X/upload_X4V2WF-large.png","1","Year Round","N"
"fkylQX","Robust Porter","This hearty, mahogany colored ale is brewed to evoke the dark, full-bodied ales that were a favorite of dockworkers and warehousemen (hence the name Porter) in 19th century London. It is a good bet that when Dickens Mr. Pickwick sat down for a pint, we would have been drinking an ale much like our Robust Porter.This is a smooth and very drinkable beer, characterized by its well-balanced malt and hops, plus subtle notes of coffee and chocolate.","19","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/fkylQX/upload_oQPQg6-large.png","1","Year Round","N"
"QmXXmj","Star Island Single","Visitors to Smuttynose Island, peering across the dark waters of Gosport Harbor towards the ragged rocks of neighboring Star Island, are sometimes startled by the fleeting sight of mysterious, alluring creatures swept up from the Atlantics cold, inky depths.  Or so they tell us.

Our Star Island Single is an eminently sessionable, abbey-style ale offering a beguiling mix of flavor and refreshment. This medium-bodied golden ale features a slight residual sweetness from Honey Malt and hints of citrus and tropical fruits from the unique Belgian yeast it is fermented with, leaving a crisp dry finish. Enjoy it sociably while you savor good times, tall tales, friendly company & lifes unexpected pleasures.","62","Tulip","Tulip","http://s3.amazonaws.com/brewerydbapi/beer/QmXXmj/upload_JzTXnp-large.png","1","Year Round","N"
"9kEqn5","Koko Brown","Koko Browns distinctive, nutty aroma and flavor comes from real toasted coconut blended into each brew. One sip of this roasty, smooth mahogany-colored beer and you will feel like you are on a warm, sun-drenched beach in Hawaii. Aloha! Since 1994, Kona Brewing Co. has been committed to making handcrafted ales and lagers of uncompromising quality. We invite you to visit our brewery and pubs whenever you visit Hawaii. Mahalo!","37","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/9kEqn5/upload_cIMVAm-large.png","4","Seasonal","N"
"owANw7","Skinny Dip","Ever tried a Skinny Dip? You wouldn't be alone. Featured by both Men's Journal and the Today Show as a favorite summer brew, this full-bodied, highly drinkable beer makes a splash every summer in our Seasonal line-up. Cascade hops frolic with a hint of lime leaf, giving the beer complexity that's surprisingly refreshing.","61","Snifter","Snifter","https://s3.amazonaws.com/brewerydbapi/beer/owANw7/upload_P2hPUo-large.png","4","Seasonal","N"
"VV0cFh","Fire Rock Pale Ale","Fire Rock Pale Ale is a crisp, refreshing Hawaiian-style pale ale. Its signature copper color results from the unique blend of specialty roasted malts. The pronounced citrus-floral hop aroma comes from the liberal amounts of Galena, Cascade & Mt. Hood hops added to each brew.","25","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/VV0cFh/upload_DXQ6vA-large.png","1","Year Round","N"
"7GcTwR","The Immortal IPA","A Northwest interpretation of a classic English style, golden copper in color and loaded with New World hop flavor and aroma. Extremely drinkable.

Malts: Pale, Munich, Crystal and Cara-hell
Hops: Bittered with Chinook, finished with Amarillo and Centennial","30","Pint","Pint","","1","Year Round","N"
"FTCwW9","Premium Lager","This beer is our speciality. In 1894 Spaten became the first brewery in Munich to produce this brand of light lager.

Flavor profile: Golden in color with a well-balanced hop-flavor. The full rounded body is a superb balance between hops and a malty sweetness.","97","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/FTCwW9/upload_IuW1MQ-large.png","1","Year Round","N"
"sdstvK","Imperial I.P.A.","San Diego-style IPA, as it has come to be known by many, is super-hoppy, high gravity, yet highly quaffable ale. Our Imperial IPA is created in this new tradition with intense hop flavors and aromas from a unique blend of Summit and Nugget hops. It's all about the hops!","31","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/sdstvK/upload_0uYqzo-large.png","1","Year Round","N"
"fFxVKX","Amber Ale","Let us introduce the ""red headed step child"" of our beer portfolio. This beer is commonly over looked and is a true Ninja of a beer. While the malt and hops give this beer an amazing copper color, medium body, and a smooth mouth feel, it's the yeast that sets this one apart from other amber ales. Inspired by almost everything from Belgium (beer, women, mussels) we thought it would be cool to give our Amber a little Belgian love. So we used a yeast that is ALMOST like a Belgian yeast strain. You'll notice it in the aroma but mostly in the flavor. Mild hints of light fruit and clove are present at the very end of the sip, just enough to keep you coming back for another sip.","32","Pint","Pint","","1","Year Round","N"
"a9egNb","Route 113 IPA","A big, flavorful IPA for all the hopheads out there, brewed with British Pale and Crystal malts, and hopped with Centennial, Cascade, German Northern Brewer, & UK East Kent Goldings. Bold and spicy.","30","Weizen","Weizen","","1","Year Round","N"
"vhHp1q","Oktoberfest","This traditional Oktoberfest beer celebrates the arrival of Fall. It is a medium-bodied, smooth and malty brew made with German Vienna malts and German hops.","81","Mug","Mug","","4","Seasonal","N"
"Eq5Afv","Southern Tier IPA","IPA stands for India Pale Ale and ours is an American ver- sion of the classic style. IPAs namesake lies in its colonial roots. British soldiers on their way to India drank a lot of beer, but found it would go stale on the long voyages. Meanwhile, brewers knew that by add-
ing more hops the beer would stay fresh. Voila! A new style was born and it is one we are proud to brew. Southern Tier IPA is tripled on its journey to your glass for a fully aromatic experience.

Brewed with 4 Varieties of Hops and 4 Types of Malts","30","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/Eq5Afv/upload_lXTOhh-large.png","1","Year Round","N"
"op0A0h","Northern Lights","Northern Lights is an extra-special India Pale Ale that is now available year-round. Characterized by its full-flavored bitterness and floral aroma, a perfect blend of barley and hops make this a very balanced IPA. For the craftbrew connoisseur, Northern Lights is a deliciously crafted piece of the heavens.","30","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/op0A0h/upload_i05AZr-large.png","1","Year Round","N"
"R8iyA8","Jomo","Starr Hills Jomo Lager is a smooth, multiple-award-winning Light Amber Lager. Fermented with Southern German Lager yeast, its crisp, clean taste, and noticeable hop aroma are effectively balanced with a slight malty sweetness. This is a crossover beer that appeals to the broadest spectrum of brew aficionados.","97","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/R8iyA8/upload_IlqoWJ-large.png","1","Year Round","N"
"9kidXn","Bitter American","Like our founding fathers, arguing over a few pints of ale, this summertime session ale provides the perfect forum to air all your grievances. Our extra pale ale has lower alcohol but al the flavor and hop aroma you expect from a much bigger beer. Give one, or three, a try","4","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/9kidXn/upload_Ztp27I-large.png","1","Year Round","N"
"rtMecd","Brew Free or Die IPA","BREW FREE! OR DIE IPA is brewed with some serious west coast attitude. This aromatic golden IPA starts with a sucker punch of six different hops to the nose, quickly balanced by a solid malt backbone. Our top selling beer at the pub, this IPA starts big and finishes clean leaving you wanting more.","30","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/rtMecd/upload_sxv2JJ-large.png","1","Year Round","N"
"yy3cTm","Hop Crisis","Shaun and Nico have to break out of Alcatraz. And fast. The Hop Syndicate is hoarding hops, depriving the people of their right to hoppy, aromatic beer. Join Shaun and Nico on their adventure to Free the Hops! First, they plan a daring escape through the sewer pipe, then they surf monster waves on ironing boards, and finally they attempt a high speed cable car getaway.

Hop Crisis. Crisis? What Crisis? A few years ago, when hop prices shot through the roof and the worldwide hop market went into a tailspin, at our pub in San Francisco we decided there was only one thing for us to do. We made the biggest, hoppiest IPA we could imagine and aged it on oak for good measure. This Imperial IPA breaks all the rules with more malt, more hops and more aroma.","31","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/yy3cTm/upload_GWsH4r-large.png","4","Seasonal","N"
"MCQWHe","Hop Karma Brown IPA","The Terrapin Hop Karma IPA (formerly known as the India Style Brown Ale) is a head on collision between a hoppy, west coast IPA and a complex, malty brown ale. Brewed with 5 varieties of hops and 7 different malts, this hybrid style represents the best of both worlds.","2","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/MCQWHe/upload_GLHwZW-large.png","1","Year Round","N"
"T5fkoD","Maredsous 10 Tripple","In 1963, the Benedictine abbey of Maredsous entrusted the production and sales of the famed Maredsous beers to Duvel Moortgat. The monks continue to exercise strict control over its recipes and quality standards right up to today.

 

Regardless of what colour or taste you choose, the Maredsous range has everything to intrigue you. These aromatic, delicate, fruity and velvety beers supplement each other in a perfect harmony as far as both colour and taste experience are concerned.

The blonde Maredsous with 6% alcohol content, the brown one with 8% alcohol content and the triple one with 10% alcohol content ripen first for two full months before they depart to their final destination. The specific bottle fermentation, refined by the brewery for its main brand Duvel, also give the Maredsous abbey beers an extra dimension. 	 

About Maredsous

The triple Maredsous with 10% alcohol content is one of the favourite beers of Michael Jackson, the outstanding beer Aa?a?popeAa?a?:
\These beers have long been my favourites. Above all the 10A?A is an especially tasty beer.""""""""","70","","","","","","N"
"Jj2Oy3","Oatmeal Stout","Rich and creamy stout","21","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/Jj2Oy3/upload_wea6dy-large.png","1","Year Round","N"
"34ozg2","Browns Lane","Authentically British from it's bespoke British Racing Green tailoring to its superb craftsmanship, but most defined by its World Champion racing spirit. 100% pressed, fermented and produced in England, Crispin Browns Lane is a deliciously dry, classic English cider.

Crispin Browns Lane is named for the original Jaguar car factory in England, and is a sincere homage to the great British motor-racing heritage, embodied in classic Jaguar, Bentley, Aston-Martin, Lotus cars and the legendary drivers like Hill, Stewart, Moss, Surtees and Clark.  A racing tradition and expertise that continues today in Formula 1 and Cart racing.

A lightly sparking, crisply effervescent cider made with traditional English bittersweet cider apples sourced in the Malvern Hills of Worcestershire. Dark straw in appearance with a semi-brilliant richness. The slight brettanomyces aroma lends to an almost traditional farmhouse cider bouquet. Soft, subtle natural apple sweetness up front, brett & tannins mid-palate move in to a slightly woody dry lingering finish.","150","Pint","Pint","","2","Limited","N"
"YwkMHV","Yuengling Lager Light","True to its American heritage, Yuengling Light Lager is an exceptional brew that appeals to consumers who don't want to sacrifice character for a low-calorie light beer. It has been masterfully developed to maintain the full flavor profile akin to our flagship Lager brand. Skillfully pairing a caramel malt flavor and mild hop character creates a beautifully rich-colored beer with deep amber highlights that finishes smooth and clean. With only 99 calories, Yuengling Light Lager is a uniquely refreshing beer that brings new dimension to the meaning light beer.","94","","","http://s3.amazonaws.com/brewerydbapi/beer/YwkMHV/upload_o60Zvm-large.png","","","N"
"wd1Y84","Yuengling Traditional Lager","Yuengling Traditional Lager is an iconic American lager famous for its rich amber color and medium-bodied flavor. Brewed with roasted caramel malt for a subtle sweetness and a combination of cluster and cascade hops, this true original promises a well balanced taste with very distinct character. Its exceptional flavor and smooth finish is prevalently enjoyed by consumers with even the most discerning tastes. Our flagship brand, Yuengling Traditional Lager is an American favorite delivering consistent quality and refreshment that never disappoints. In fact, it's so widely known and unique in its class, in some areas you can ask for it simply by the name Lager.","97","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/wd1Y84/upload_E8sd6r-large.png","1","Year Round","N"
